,CodProduto,CodCor,CodTamanho,CodEstado,DataVenda,Vendedor,QtdeVendida,NomeEstado,Sigla,Capital,PercImposto,CodRegiao,CodVend,NomeVendedor,DescricaoCor,NomeRegiao,DescricaoTamanho,idProduto,DescricaoProduto,CodGrupo,CodDepto,PrecoUnitario,DescricaoGrupo,DescricaoDepto
27,2261,7,1,11,2020-04-05,1,26,Mato Grosso,MT,Cuiabá,"0,170",3,1,Marcelo,Cinza,Centro Oeste,Pequeno,2261,PRODUTO que contem código 2261,8,6,264,Grupo 8,Utensílios Domésticos
28,2261,5,3,4,2019-02-15,5,181,Amazonas,AM,Manaus,"0,080",2,5,Igor,Preto,Norte,Grande,2261,PRODUTO que contem código 2261,8,6,264,Grupo 8,Utensílios Domésticos
29,2261,9,3,11,2020-05-22,4,14,Mato Grosso,MT,Cuiabá,"0,170",3,4,Patricia,Laranja,Centro Oeste,Grande,2261,PRODUTO que contem código 2261,8,6,264,Grupo 8,Utensílios Domésticos
30,2261,2,4,23,2022-03-04,5,108,Roraima,RR,Boa Vista,"0,110",2,5,Igor,Verde,Norte,Extra Grande,2261,PRODUTO que contem código 2261,8,6,264,Grupo 8,Utensílios Domésticos
31,2261,3,4,1,2019-12-10,4,148,Acre,AC,Rio Branco,"0,120",2,4,Patricia,Amarelo,Norte,Extra Grande,2261,PRODUTO que contem código 2261,8,6,264,Grupo 8,Utensílios Domésticos
32,2261,8,4,13,2021-10-08,2,42,Minas Gerais,MG,Belo Horizonte,"0,120",4,2,João,Marron,Sudeste,Extra Grande,2261,PRODUTO que contem código 2261,8,6,264,Grupo 8,Utensílios Domésticos
33,2069,7,1,5,2020-11-09,2,96,Bahia,BA,Salvador,"0,150",1,2,João,Cinza,Nordeste,Pequeno,2069,PRODUTO que contem código 2069,8,6,563,Grupo 8,Utensílios Domésticos
34,2069,4,1,26,2021-03-22,4,25,Sergipe,SE,Aracaju,"0,180",1,4,Patricia,Vermelho,Nordeste,Pequeno,2069,PRODUTO que contem código 2069,8,6,563,Grupo 8,Utensílios Domésticos
35,2069,7,2,13,2020-01-18,5,61,Minas Gerais,MG,Belo Horizonte,"0,120",4,5,Igor,Cinza,Sudeste,Médio,2069,PRODUTO que contem código 2069,8,6,563,Grupo 8,Utensílios Domésticos
36,2069,2,3,1,2021-07-25,1,166,Acre,AC,Rio Branco,"0,120",2,1,Marcelo,Verde,Norte,Grande,2069,PRODUTO que contem código 2069,8,6,563,Grupo 8,Utensílios Domésticos
37,2069,10,3,21,2021-07-31,1,125,Rio Grande do Sul,RS,Porto Alegre,"0,170",5,1,Marcelo,Transparente,Sul,Grande,2069,PRODUTO que contem código 2069,8,6,563,Grupo 8,Utensílios Domésticos
38,2069,9,4,1,2020-03-22,2,6,Acre,AC,Rio Branco,"0,120",2,2,João,Laranja,Norte,Extra Grande,2069,PRODUTO que contem código 2069,8,6,563,Grupo 8,Utensílios Domésticos
39,2069,1,4,22,2020-05-23,3,138,Rondônia,RO,Porto Velho,"0,130",2,3,Carla,Azul,Norte,Extra Grande,2069,PRODUTO que contem código 2069,8,6,563,Grupo 8,Utensílios Domésticos
40,2069,7,4,2,2020-04-11,1,31,Alagoas,AL,Maceió,"0,090",1,1,Marcelo,Cinza,Nordeste,Extra Grande,2069,PRODUTO que contem código 2069,8,6,563,Grupo 8,Utensílios Domésticos
41,2069,8,4,11,2021-03-27,3,75,Mato Grosso,MT,Cuiabá,"0,170",3,3,Carla,Marron,Centro Oeste,Extra Grande,2069,PRODUTO que contem código 2069,8,6,563,Grupo 8,Utensílios Domésticos
42,1275,10,1,2,2020-05-29,1,45,Alagoas,AL,Maceió,"0,090",1,1,Marcelo,Transparente,Nordeste,Pequeno,1275,PRODUTO que contem código 1275,8,6,514,Grupo 8,Utensílios Domésticos
43,1275,4,4,15,2021-02-27,3,32,Paraíba,PB,João Pessoa,"0,090",1,3,Carla,Vermelho,Nordeste,Extra Grande,1275,PRODUTO que contem código 1275,8,6,514,Grupo 8,Utensílios Domésticos
44,1275,8,4,20,2022-07-23,3,26,Rio Grande do Norte,RN,Natal,"0,110",1,3,Carla,Marron,Nordeste,Extra Grande,1275,PRODUTO que contem código 1275,8,6,514,Grupo 8,Utensílios Domésticos
45,1275,8,4,25,2022-04-27,2,10,São Paulo,SP,São Paulo,"0,130",4,2,João,Marron,Sudeste,Extra Grande,1275,PRODUTO que contem código 1275,8,6,514,Grupo 8,Utensílios Domésticos
46,1275,3,4,19,2021-09-11,2,189,Rio de Janeiro,RJ,Rio de Janeiro,"0,140",4,2,João,Amarelo,Sudeste,Extra Grande,1275,PRODUTO que contem código 1275,8,6,514,Grupo 8,Utensílios Domésticos
47,2282,5,1,18,2021-02-19,2,35,Piauí,PI,Teresina,"0,160",1,2,João,Preto,Nordeste,Pequeno,2282,PRODUTO que contem código 2282,8,6,509,Grupo 8,Utensílios Domésticos
48,2282,6,2,27,2022-06-12,1,29,Tocantins,TO,Palmas,"0,150",2,1,Marcelo,Branco,Norte,Médio,2282,PRODUTO que contem código 2282,8,6,509,Grupo 8,Utensílios Domésticos
49,2282,4,2,11,2021-09-16,2,83,Mato Grosso,MT,Cuiabá,"0,170",3,2,João,Vermelho,Centro Oeste,Médio,2282,PRODUTO que contem código 2282,8,6,509,Grupo 8,Utensílios Domésticos
50,2282,9,2,13,2021-06-30,1,32,Minas Gerais,MG,Belo Horizonte,"0,120",4,1,Marcelo,Laranja,Sudeste,Médio,2282,PRODUTO que contem código 2282,8,6,509,Grupo 8,Utensílios Domésticos
51,2967,9,1,26,2021-02-21,5,197,Sergipe,SE,Aracaju,"0,180",1,5,Igor,Laranja,Nordeste,Pequeno,2967,PRODUTO que contem código 2967,8,6,728,Grupo 8,Utensílios Domésticos
52,2967,7,2,2,2021-10-13,4,184,Alagoas,AL,Maceió,"0,090",1,4,Patricia,Cinza,Nordeste,Médio,2967,PRODUTO que contem código 2967,8,6,728,Grupo 8,Utensílios Domésticos
53,2967,1,2,8,2021-04-08,2,92,Espírito Santo,ES,Vitória,"0,120",4,2,João,Azul,Sudeste,Médio,2967,PRODUTO que contem código 2967,8,6,728,Grupo 8,Utensílios Domésticos
54,2967,7,3,14,2022-08-03,3,136,Pará,PA,Belém,"0,100",2,3,Carla,Cinza,Norte,Grande,2967,PRODUTO que contem código 2967,8,6,728,Grupo 8,Utensílios Domésticos
55,2967,7,4,10,2022-07-15,1,171,Maranhão,MA,São Luís,"0,090",1,1,Marcelo,Cinza,Nordeste,Extra Grande,2967,PRODUTO que contem código 2967,8,6,728,Grupo 8,Utensílios Domésticos
56,1843,7,1,9,2020-04-09,5,151,Goiás,GO,Goiânia,"0,110",3,5,Igor,Cinza,Centro Oeste,Pequeno,1843,PRODUTO que contem código 1843,8,6,75,Grupo 8,Utensílios Domésticos
57,1843,10,2,4,2020-09-06,1,25,Amazonas,AM,Manaus,"0,080",2,1,Marcelo,Transparente,Norte,Médio,1843,PRODUTO que contem código 1843,8,6,75,Grupo 8,Utensílios Domésticos
58,1843,1,3,3,2021-08-02,5,134,Amapá,AP,Macapá,"0,130",2,5,Igor,Azul,Norte,Grande,1843,PRODUTO que contem código 1843,8,6,75,Grupo 8,Utensílios Domésticos
59,1843,2,4,3,2022-05-27,2,142,Amapá,AP,Macapá,"0,130",2,2,João,Verde,Norte,Extra Grande,1843,PRODUTO que contem código 1843,8,6,75,Grupo 8,Utensílios Domésticos
60,1843,2,4,4,2020-05-01,1,131,Amazonas,AM,Manaus,"0,080",2,1,Marcelo,Verde,Norte,Extra Grande,1843,PRODUTO que contem código 1843,8,6,75,Grupo 8,Utensílios Domésticos
61,1843,10,4,5,2020-10-08,3,105,Bahia,BA,Salvador,"0,150",1,3,Carla,Transparente,Nordeste,Extra Grande,1843,PRODUTO que contem código 1843,8,6,75,Grupo 8,Utensílios Domésticos
62,1008,8,1,7,2020-12-01,1,111,Distrito Federal,DF,Brasília,"0,120",3,1,Marcelo,Marron,Centro Oeste,Pequeno,1008,PRODUTO que contem código 1008,8,6,353,Grupo 8,Utensílios Domésticos
63,1008,9,1,9,2022-01-25,5,19,Goiás,GO,Goiânia,"0,110",3,5,Igor,Laranja,Centro Oeste,Pequeno,1008,PRODUTO que contem código 1008,8,6,353,Grupo 8,Utensílios Domésticos
64,1008,5,2,22,2020-01-02,1,174,Rondônia,RO,Porto Velho,"0,130",2,1,Marcelo,Preto,Norte,Médio,1008,PRODUTO que contem código 1008,8,6,353,Grupo 8,Utensílios Domésticos
65,1008,9,4,25,2021-07-27,4,130,São Paulo,SP,São Paulo,"0,130",4,4,Patricia,Laranja,Sudeste,Extra Grande,1008,PRODUTO que contem código 1008,8,6,353,Grupo 8,Utensílios Domésticos
66,2287,5,1,9,2022-04-04,3,113,Goiás,GO,Goiânia,"0,110",3,3,Carla,Preto,Centro Oeste,Pequeno,2287,PRODUTO que contem código 2287,8,6,486,Grupo 8,Utensílios Domésticos
67,2287,6,2,3,2022-04-11,1,33,Amapá,AP,Macapá,"0,130",2,1,Marcelo,Branco,Norte,Médio,2287,PRODUTO que contem código 2287,8,6,486,Grupo 8,Utensílios Domésticos
68,2287,1,2,21,2020-01-08,4,83,Rio Grande do Sul,RS,Porto Alegre,"0,170",5,4,Patricia,Azul,Sul,Médio,2287,PRODUTO que contem código 2287,8,6,486,Grupo 8,Utensílios Domésticos
69,2287,3,2,21,2022-08-15,1,183,Rio Grande do Sul,RS,Porto Alegre,"0,170",5,1,Marcelo,Amarelo,Sul,Médio,2287,PRODUTO que contem código 2287,8,6,486,Grupo 8,Utensílios Domésticos
70,2287,10,3,23,2022-07-15,3,113,Roraima,RR,Boa Vista,"0,110",2,3,Carla,Transparente,Norte,Grande,2287,PRODUTO que contem código 2287,8,6,486,Grupo 8,Utensílios Domésticos
71,2287,5,3,2,2020-06-27,2,120,Alagoas,AL,Maceió,"0,090",1,2,João,Preto,Nordeste,Grande,2287,PRODUTO que contem código 2287,8,6,486,Grupo 8,Utensílios Domésticos
72,1904,1,1,11,2020-08-12,3,14,Mato Grosso,MT,Cuiabá,"0,170",3,3,Carla,Azul,Centro Oeste,Pequeno,1904,PRODUTO que contem código 1904,8,6,541,Grupo 8,Utensílios Domésticos
73,1904,5,1,21,2021-11-08,1,38,Rio Grande do Sul,RS,Porto Alegre,"0,170",5,1,Marcelo,Preto,Sul,Pequeno,1904,PRODUTO que contem código 1904,8,6,541,Grupo 8,Utensílios Domésticos
74,1904,5,3,16,2021-12-17,4,126,Paraná,PR,Curitiba,"0,090",5,4,Patricia,Preto,Sul,Grande,1904,PRODUTO que contem código 1904,8,6,541,Grupo 8,Utensílios Domésticos
75,1904,6,4,3,2020-11-13,3,197,Amapá,AP,Macapá,"0,130",2,3,Carla,Branco,Norte,Extra Grande,1904,PRODUTO que contem código 1904,8,6,541,Grupo 8,Utensílios Domésticos
76,1904,5,4,1,2021-03-21,4,117,Acre,AC,Rio Branco,"0,120",2,4,Patricia,Preto,Norte,Extra Grande,1904,PRODUTO que contem código 1904,8,6,541,Grupo 8,Utensílios Domésticos
77,1904,8,4,16,2020-03-31,1,17,Paraná,PR,Curitiba,"0,090",5,1,Marcelo,Marron,Sul,Extra Grande,1904,PRODUTO que contem código 1904,8,6,541,Grupo 8,Utensílios Domésticos
78,2356,3,1,8,2021-01-30,1,196,Espírito Santo,ES,Vitória,"0,120",4,1,Marcelo,Amarelo,Sudeste,Pequeno,2356,PRODUTO que contem código 2356,8,6,282,Grupo 8,Utensílios Domésticos
79,2356,2,2,24,2020-04-17,3,146,Santa Catarina,SC,Florianópolis,"0,130",5,3,Carla,Verde,Sul,Médio,2356,PRODUTO que contem código 2356,8,6,282,Grupo 8,Utensílios Domésticos
80,2356,4,3,22,2021-02-26,3,150,Rondônia,RO,Porto Velho,"0,130",2,3,Carla,Vermelho,Norte,Grande,2356,PRODUTO que contem código 2356,8,6,282,Grupo 8,Utensílios Domésticos
81,2356,5,3,14,2020-06-01,5,8,Pará,PA,Belém,"0,100",2,5,Igor,Preto,Norte,Grande,2356,PRODUTO que contem código 2356,8,6,282,Grupo 8,Utensílios Domésticos
82,2356,8,3,6,2022-02-20,1,183,Ceará,CE,Fortaleza,"0,130",1,1,Marcelo,Marron,Nordeste,Grande,2356,PRODUTO que contem código 2356,8,6,282,Grupo 8,Utensílios Domésticos
83,2356,6,3,2,2022-03-21,2,69,Alagoas,AL,Maceió,"0,090",1,2,João,Branco,Nordeste,Grande,2356,PRODUTO que contem código 2356,8,6,282,Grupo 8,Utensílios Domésticos
84,169,10,2,27,2022-05-27,2,95,Tocantins,TO,Palmas,"0,150",2,2,João,Transparente,Norte,Médio,169,PRODUTO que contem código 169,8,6,303,Grupo 8,Utensílios Domésticos
85,169,5,2,27,2020-08-08,4,162,Tocantins,TO,Palmas,"0,150",2,4,Patricia,Preto,Norte,Médio,169,PRODUTO que contem código 169,8,6,303,Grupo 8,Utensílios Domésticos
86,169,4,2,15,2022-07-26,3,121,Paraíba,PB,João Pessoa,"0,090",1,3,Carla,Vermelho,Nordeste,Médio,169,PRODUTO que contem código 169,8,6,303,Grupo 8,Utensílios Domésticos
87,169,10,2,5,2021-01-13,2,147,Bahia,BA,Salvador,"0,150",1,2,João,Transparente,Nordeste,Médio,169,PRODUTO que contem código 169,8,6,303,Grupo 8,Utensílios Domésticos
88,169,8,3,13,2020-05-10,1,102,Minas Gerais,MG,Belo Horizonte,"0,120",4,1,Marcelo,Marron,Sudeste,Grande,169,PRODUTO que contem código 169,8,6,303,Grupo 8,Utensílios Domésticos
89,169,4,4,15,2020-04-15,3,44,Paraíba,PB,João Pessoa,"0,090",1,3,Carla,Vermelho,Nordeste,Extra Grande,169,PRODUTO que contem código 169,8,6,303,Grupo 8,Utensílios Domésticos
90,169,10,4,19,2021-02-26,2,16,Rio de Janeiro,RJ,Rio de Janeiro,"0,140",4,2,João,Transparente,Sudeste,Extra Grande,169,PRODUTO que contem código 169,8,6,303,Grupo 8,Utensílios Domésticos
91,1897,2,2,18,2022-04-23,2,55,Piauí,PI,Teresina,"0,160",1,2,João,Verde,Nordeste,Médio,1897,PRODUTO que contem código 1897,8,6,746,Grupo 8,Utensílios Domésticos
92,1897,6,2,9,2020-08-06,2,58,Goiás,GO,Goiânia,"0,110",3,2,João,Branco,Centro Oeste,Médio,1897,PRODUTO que contem código 1897,8,6,746,Grupo 8,Utensílios Domésticos
93,1897,10,3,13,2021-05-14,2,22,Minas Gerais,MG,Belo Horizonte,"0,120",4,2,João,Transparente,Sudeste,Grande,1897,PRODUTO que contem código 1897,8,6,746,Grupo 8,Utensílios Domésticos
94,1897,3,4,26,2020-09-09,2,120,Sergipe,SE,Aracaju,"0,180",1,2,João,Amarelo,Nordeste,Extra Grande,1897,PRODUTO que contem código 1897,8,6,746,Grupo 8,Utensílios Domésticos
95,1897,4,4,11,2020-04-21,3,61,Mato Grosso,MT,Cuiabá,"0,170",3,3,Carla,Vermelho,Centro Oeste,Extra Grande,1897,PRODUTO que contem código 1897,8,6,746,Grupo 8,Utensílios Domésticos
96,2139,4,3,15,2022-04-26,3,13,Paraíba,PB,João Pessoa,"0,090",1,3,Carla,Vermelho,Nordeste,Grande,2139,PRODUTO que contem código 2139,8,6,380,Grupo 8,Utensílios Domésticos
97,2139,5,4,17,2021-10-05,2,91,Pernambuco,PE,Recife,"0,100",1,2,João,Preto,Nordeste,Extra Grande,2139,PRODUTO que contem código 2139,8,6,380,Grupo 8,Utensílios Domésticos
98,838,5,3,15,2020-12-06,3,145,Paraíba,PB,João Pessoa,"0,090",1,3,Carla,Preto,Nordeste,Grande,838,PRODUTO que contem código 838,8,6,416,Grupo 8,Utensílios Domésticos
99,838,1,3,26,2022-05-04,3,21,Sergipe,SE,Aracaju,"0,180",1,3,Carla,Azul,Nordeste,Grande,838,PRODUTO que contem código 838,8,6,416,Grupo 8,Utensílios Domésticos
100,838,9,4,22,2021-01-21,5,81,Rondônia,RO,Porto Velho,"0,130",2,5,Igor,Laranja,Norte,Extra Grande,838,PRODUTO que contem código 838,8,6,416,Grupo 8,Utensílios Domésticos
101,838,5,4,6,2021-08-11,5,189,Ceará,CE,Fortaleza,"0,130",1,5,Igor,Preto,Nordeste,Extra Grande,838,PRODUTO que contem código 838,8,6,416,Grupo 8,Utensílios Domésticos
102,838,10,4,19,2021-12-25,5,134,Rio de Janeiro,RJ,Rio de Janeiro,"0,140",4,5,Igor,Transparente,Sudeste,Extra Grande,838,PRODUTO que contem código 838,8,6,416,Grupo 8,Utensílios Domésticos
103,2887,7,1,27,2020-02-16,4,160,Tocantins,TO,Palmas,"0,150",2,4,Patricia,Cinza,Norte,Pequeno,2887,PRODUTO que contem código 2887,11,6,113,Grupo 11,Utensílios Domésticos
104,2887,1,1,14,2020-07-24,3,184,Pará,PA,Belém,"0,100",2,3,Carla,Azul,Norte,Pequeno,2887,PRODUTO que contem código 2887,11,6,113,Grupo 11,Utensílios Domésticos
105,2887,9,1,24,2022-05-07,3,194,Santa Catarina,SC,Florianópolis,"0,130",5,3,Carla,Laranja,Sul,Pequeno,2887,PRODUTO que contem código 2887,11,6,113,Grupo 11,Utensílios Domésticos
106,2887,10,2,9,2021-07-31,3,7,Goiás,GO,Goiânia,"0,110",3,3,Carla,Transparente,Centro Oeste,Médio,2887,PRODUTO que contem código 2887,11,6,113,Grupo 11,Utensílios Domésticos
107,2887,4,4,14,2021-08-20,1,101,Pará,PA,Belém,"0,100",2,1,Marcelo,Vermelho,Norte,Extra Grande,2887,PRODUTO que contem código 2887,11,6,113,Grupo 11,Utensílios Domésticos
108,2887,8,4,24,2019-10-18,1,35,Santa Catarina,SC,Florianópolis,"0,130",5,1,Marcelo,Marron,Sul,Extra Grande,2887,PRODUTO que contem código 2887,11,6,113,Grupo 11,Utensílios Domésticos
109,279,4,1,1,2022-05-31,4,37,Acre,AC,Rio Branco,"0,120",2,4,Patricia,Vermelho,Norte,Pequeno,279,PRODUTO que contem código 279,11,6,95,Grupo 11,Utensílios Domésticos
110,279,6,1,24,2020-04-30,2,165,Santa Catarina,SC,Florianópolis,"0,130",5,2,João,Branco,Sul,Pequeno,279,PRODUTO que contem código 279,11,6,95,Grupo 11,Utensílios Domésticos
111,279,2,1,19,2022-01-21,1,71,Rio de Janeiro,RJ,Rio de Janeiro,"0,140",4,1,Marcelo,Verde,Sudeste,Pequeno,279,PRODUTO que contem código 279,11,6,95,Grupo 11,Utensílios Domésticos
112,279,4,2,22,2022-04-16,4,148,Rondônia,RO,Porto Velho,"0,130",2,4,Patricia,Vermelho,Norte,Médio,279,PRODUTO que contem código 279,11,6,95,Grupo 11,Utensílios Domésticos
113,279,2,2,10,2020-12-13,2,46,Maranhão,MA,São Luís,"0,090",1,2,João,Verde,Nordeste,Médio,279,PRODUTO que contem código 279,11,6,95,Grupo 11,Utensílios Domésticos
114,279,2,3,19,2020-03-09,1,44,Rio de Janeiro,RJ,Rio de Janeiro,"0,140",4,1,Marcelo,Verde,Sudeste,Grande,279,PRODUTO que contem código 279,11,6,95,Grupo 11,Utensílios Domésticos
115,2764,4,1,14,2021-07-25,3,167,Pará,PA,Belém,"0,100",2,3,Carla,Vermelho,Norte,Pequeno,2764,PRODUTO que contem código 2764,11,6,261,Grupo 11,Utensílios Domésticos
116,2764,8,1,14,2020-09-13,5,150,Pará,PA,Belém,"0,100",2,5,Igor,Marron,Norte,Pequeno,2764,PRODUTO que contem código 2764,11,6,261,Grupo 11,Utensílios Domésticos
117,2764,5,2,27,2020-07-20,3,8,Tocantins,TO,Palmas,"0,150",2,3,Carla,Preto,Norte,Médio,2764,PRODUTO que contem código 2764,11,6,261,Grupo 11,Utensílios Domésticos
118,2764,10,2,2,2022-03-21,4,19,Alagoas,AL,Maceió,"0,090",1,4,Patricia,Transparente,Nordeste,Médio,2764,PRODUTO que contem código 2764,11,6,261,Grupo 11,Utensílios Domésticos
119,2764,4,2,7,2020-09-01,2,145,Distrito Federal,DF,Brasília,"0,120",3,2,João,Vermelho,Centro Oeste,Médio,2764,PRODUTO que contem código 2764,11,6,261,Grupo 11,Utensílios Domésticos
120,2764,2,3,20,2020-11-03,5,159,Rio Grande do Norte,RN,Natal,"0,110",1,5,Igor,Verde,Nordeste,Grande,2764,PRODUTO que contem código 2764,11,6,261,Grupo 11,Utensílios Domésticos
121,2764,5,3,7,2021-04-22,4,157,Distrito Federal,DF,Brasília,"0,120",3,4,Patricia,Preto,Centro Oeste,Grande,2764,PRODUTO que contem código 2764,11,6,261,Grupo 11,Utensílios Domésticos
122,2764,7,4,10,2020-03-04,3,9,Maranhão,MA,São Luís,"0,090",1,3,Carla,Cinza,Nordeste,Extra Grande,2764,PRODUTO que contem código 2764,11,6,261,Grupo 11,Utensílios Domésticos
123,1293,4,1,23,2021-12-01,1,142,Roraima,RR,Boa Vista,"0,110",2,1,Marcelo,Vermelho,Norte,Pequeno,1293,PRODUTO que contem código 1293,11,6,375,Grupo 11,Utensílios Domésticos
124,1293,7,3,27,2020-12-30,2,20,Tocantins,TO,Palmas,"0,150",2,2,João,Cinza,Norte,Grande,1293,PRODUTO que contem código 1293,11,6,375,Grupo 11,Utensílios Domésticos
125,1293,10,3,12,2021-05-25,4,156,Mato Grosso do Sul,MS,Campo Grande,"0,180",3,4,Patricia,Transparente,Centro Oeste,Grande,1293,PRODUTO que contem código 1293,11,6,375,Grupo 11,Utensílios Domésticos
126,1293,8,4,6,2020-08-26,4,185,Ceará,CE,Fortaleza,"0,130",1,4,Patricia,Marron,Nordeste,Extra Grande,1293,PRODUTO que contem código 1293,11,6,375,Grupo 11,Utensílios Domésticos
